seed,regime,alpha,delta_Q,delta_r_x,delta_phi,delta_P
20270830,slow reversible,0.45,0.38333333333333325,0.6262298725992042,-0.39999999999999997,0.3069363794776189
20270830,slow reversible,0.5,0.38333333333333325,0.6397776386056075,-0.39999999999999997,0.2818292916629779
20270830,slow reversible,0.55,0.38333333333333325,0.6537692351908844,-0.39999999999999997,0.2552383351686366
20270830,slow reversible,0.6000000000000001,0.3499999999999999,0.6108645775651851,-0.3652173913043478,0.221352441754319
20270830,slow reversible,0.65,0.3166666666666666,0.5556482791064944,-0.33043478260869563,0.18196895807160063
20270830,slow reversible,0.7000000000000001,0.24166666666666664,0.42795448155643667,-0.25217391304347825,0.12615866095475825
20270830,slow reversible,0.75,0.05833333333333329,0.10896238869638852,-0.060869565217391314,0.05034952542816784
20270830,slow reversible,0.8,0.0,0.0003608521372636675,0.0,0.005669917360497045
20270830,slow reversible,0.8500000000000001,0.0,-0.00012296348123308487,0.0,0.0006904687098971962
20270830,slow reversible,0.9,0.0,-0.00013321877433691842,0.0,0.0017074015602518422
20270830,slow reversible,0.9500000000000001,0.0,0.0003126193043060388,0.0,-0.0014331079981604322
20270830,slow reversible,1.0,0.0,0.0,0.0,0.0
20270830,"slow reversible, slow ramp",0.0,0.0,0.017298578762309336,0.0,-0.0011077669728828884
20270830,"slow reversible, slow ramp",0.05,0.0,0.012419510365561381,0.0,0.0016648417955052591
20270830,"slow reversible, slow ramp",0.1,0.0,0.016625550836499192,0.0,-0.0005598133299110353
20270830,"slow reversible, slow ramp",0.15000000000000002,0.0,0.013012319926946736,0.0,0.0037957177568773703
20270830,"slow reversible, slow ramp",0.2,0.0,0.012328056429269485,0.0,-0.00013807251477962468
20270830,"slow reversible, slow ramp",0.25,0.06666666666666665,0.10420918434719578,-0.06956521739130433,0.04096545803752155
20270830,"slow reversible, slow ramp",0.30000000000000004,0.17499999999999993,0.25951048977601116,-0.18260869565217389,0.11028102613973356
20270830,"slow reversible, slow ramp",0.35000000000000003,0.23333333333333328,0.37455798439413807,-0.2434782608695652,0.15789117036638323
20270830,"slow reversible, slow ramp",0.4,0.2833333333333333,0.46039320142632084,-0.29565217391304344,0.20267626603626643
20270830,"slow reversible, slow ramp",0.45,0.3333333333333333,0.5514363353763192,-0.34782608695652173,0.24645805344952204
20270830,"slow reversible, slow ramp",0.5,0.39166666666666666,0.6532179426494689,-0.408695652173913,0.2870906310230834
20270830,"slow reversible, slow ramp",0.55,0.3166666666666667,0.5522850128618079,-0.33043478260869563,0.23245029336582435
20270830,"slow reversible, slow ramp",0.6000000000000001,0.17500000000000004,0.29357464457226645,-0.1826086956521739,0.1234372242139461
20270830,"slow reversible, slow ramp",0.65,0.0,-3.0727135872377076e-05,0.0,-0.001230118411803982
20270830,"slow reversible, slow ramp",0.7000000000000001,0.0,0.0001356580371497662,0.0,0.0011725316328204949
20270830,"slow reversible, slow ramp",0.75,0.0,-0.00010304499724234084,0.0,-0.0003740079019703968
20270830,"slow reversible, slow ramp",0.8,0.0,-5.9553401158485286e-05,0.0,0.0010334806463534463
20270830,"slow reversible, slow ramp",0.8500000000000001,0.0,5.5534781298494096e-05,0.0,-0.001561812151031572
20270830,"slow reversible, slow ramp",0.9,0.0,-0.0004232728381096118,0.0,0.0027389738458063473
20270830,"slow reversible, slow ramp",0.9500000000000001,0.0,0.00032209687159767686,0.0,-0.0015352164562059123
20270830,"slow reversible, slow ramp",1.0,0.0,0.0,0.0,0.0
20270830,one-way boundary,0.0,0.39166666666666666,0.5462804407580917,-0.408695652173913,0.22534161486886845
20270830,one-way boundary,0.05,0.39166666666666666,0.5591083112482262,-0.408695652173913,0.30328723565628823
20270830,one-way boundary,0.1,0.39166666666666666,0.5612765236657847,-0.408695652173913,0.34787918304538157
20270830,one-way boundary,0.15000000000000002,0.39166666666666666,0.5678723156905494,-0.408695652173913,0.3690202027219181
20270830,one-way boundary,0.2,0.39166666666666666,0.5721366566315813,-0.408695652173913,0.3793679464693048
20270830,one-way boundary,0.25,0.39166666666666666,0.5817125557782301,-0.408695652173913,0.3799397804489908
20270830,one-way boundary,0.30000000000000004,0.39166666666666666,0.5907774431302149,-0.408695652173913,0.3690251858725641
20270830,one-way boundary,0.35000000000000003,0.39166666666666666,0.6059712772974416,-0.408695652173913,0.3559570773614218
20270830,one-way boundary,0.4,0.39166666666666666,0.6201970848612767,-0.408695652173913,0.3355754420886066
20270830,one-way boundary,0.45,0.39166666666666666,0.6382262307243118,-0.408695652173913,0.31571095551411504
20270830,one-way boundary,0.5,0.39166666666666666,0.6518313389603809,-0.408695652173913,0.2896534240603591
20270830,one-way boundary,0.55,0.39166666666666666,0.6663347183651667,-0.408695652173913,0.2622260807352895
20270830,one-way boundary,0.6000000000000001,0.3666666666666667,0.6282157348837483,-0.3826086956521739,0.22609450456878144
20270830,one-way boundary,0.65,0.34166666666666673,0.5934290876321219,-0.3565217391304348,0.19269442890080457
20270830,one-way boundary,0.7000000000000001,0.25833333333333336,0.4559842656208314,-0.26956521739130435,0.13552083409384763
20270830,one-way boundary,0.75,0.1916666666666667,0.3400312807087571,-0.19999999999999998,0.09644498470832363
20270830,one-way boundary,0.8,0.050000000000000044,0.08842414716292324,-0.052173913043478265,0.03595768620957662
20270830,one-way boundary,0.8500000000000001,0.0,6.562597822490357e-05,0.0,0.002240003981006544
20270830,one-way boundary,0.9,0.0,-0.00016519262457570516,0.0,0.0017146339241977948
20270830,one-way boundary,0.9500000000000001,0.0,-6.871120253149066e-05,0.0,-0.0014577860000003495
20270830,one-way boundary,1.0,0.0,0.0,0.0,0.0
20270830,slow reversible + graph reset,0.0,0.0,0.03288839879254002,0.0,0.005353434822646663
20270830,slow reversible + graph reset,0.05,0.0,0.0343097441901406,0.0,0.011748831307508242
20270830,slow reversible + graph reset,0.1,0.0,0.02274106309417595,0.0,0.011946650736375963
20270830,slow reversible + graph reset,0.15000000000000002,0.0,0.014513234312806989,0.0,0.009004910195377192
20270830,slow reversible + graph reset,0.2,0.0,0.012387046695336412,0.0,0.008656817629907887
20270830,slow reversible + graph reset,0.25,0.0,0.005798949322947555,0.0,0.00855539624032109
20270830,slow reversible + graph reset,0.30000000000000004,0.0,0.002563543613029018,0.0,0.006523751915045228
20270830,slow reversible + graph reset,0.35000000000000003,0.0,0.0008862129657068452,0.0,0.006737161954932236
20270830,slow reversible + graph reset,0.4,0.0,0.0003682900543777179,0.0,0.004397037861903652
20270830,slow reversible + graph reset,0.45,0.0,0.0022600972076846637,0.0,0.005553017919080749
20270830,slow reversible + graph reset,0.5,0.0,0.0007943170503273422,0.0,0.010138727509816037
20270830,slow reversible + graph reset,0.55,0.38333333333333325,0.6537692351908844,-0.39999999999999997,0.2552383351686366
20270830,slow reversible + graph reset,0.6000000000000001,0.3499999999999999,0.6108645775651851,-0.3652173913043478,0.221352441754319
20270830,slow reversible + graph reset,0.65,0.3166666666666666,0.5556482791064944,-0.33043478260869563,0.18196895807160063
20270830,slow reversible + graph reset,0.7000000000000001,0.24166666666666664,0.42795448155643667,-0.25217391304347825,0.12615866095475825
20270830,slow reversible + graph reset,0.75,0.05833333333333329,0.10896238869638852,-0.060869565217391314,0.05034952542816784
20270830,slow reversible + graph reset,0.8,0.0,0.0003608521372636675,0.0,0.005669917360497045
20270830,slow reversible + graph reset,0.8500000000000001,0.0,-0.00012296348123308487,0.0,0.0006904687098971962
20270830,slow reversible + graph reset,0.9,0.0,-0.00013321877433691842,0.0,0.0017074015602518422
20270830,slow reversible + graph reset,0.9500000000000001,0.0,0.0003126193043060388,0.0,-0.0014331079981604322
20270830,slow reversible + graph reset,1.0,0.0,0.0,0.0,0.0
20270831,no rewiring,0.0,0.0,0.03881328196667816,0.0,0.006802198870750495
20270831,no rewiring,0.05,0.0,0.02864324389481515,0.0,0.009508203115025357
20270831,no rewiring,0.1,0.0,0.02811019506754131,0.0,0.010319376572694328
20270831,no rewiring,0.15000000000000002,0.0,0.016495443884694927,0.0,0.011893063347759136
20270831,no rewiring,0.2,0.0,0.015786173146851545,0.0,0.00959716037016023
20270831,no rewiring,0.25,0.0,0.0098591645865313,0.0,0.009449273329261043
20270831,no rewiring,0.30000000000000004,0.0,0.00789988633999178,0.0,0.006304730546825399
20270831,no rewiring,0.35000000000000003,0.0,0.00019733351965689483,0.0,0.005374250180958662
20270831,no rewiring,0.4,0.0,0.0009889576458352867,0.0,0.004657672828470516
20270831,no rewiring,0.45,0.0,0.0006954967954802549,0.0,0.0038289387539283126
20270831,no rewiring,0.5,0.0,-0.00014959905556682918,0.0,-6.95604132767702e-05
20270831,no rewiring,0.55,0.0,0.0021292478896163813,0.0,0.001984111560963453
20270831,no rewiring,0.6000000000000001,0.0,0.0003252539970949875,0.0,0.0022619291783069206
20270831,no rewiring,0.65,0.0,-0.00031032445749973325,0.0,0.0019301014209808232
20270831,no rewiring,0.7000000000000001,0.0,2.0250600763160875e-05,0.0,-0.0001175414915675077
20270831,no rewiring,0.75,0.0,-0.00041154858150255214,0.0,0.0019968905656823077
20270831,no rewiring,0.8,0.0,0.0007026916925954585,0.0,0.0011066948592330927
20270831,no rewiring,0.8500000000000001,0.0,-0.0010513476090708573,0.0,0.0029401255441656726
20270831,no rewiring,0.9,0.0,-0.0024237939231795125,0.0,0.002774103896325597
20270831,no rewiring,0.9500000000000001,0.0,-0.0018452858262187066,0.0,0.0008987915030598259
20270831,no rewiring,1.0,0.0,0.0,0.0,0.0
20270831,fast reversible,0.0,0.0,0.015245813648782636,0.0,0.005963623415033155
20270831,fast reversible,0.05,0.0,0.0069979708602034285,0.0,0.00794580642026288
20270831,fast reversible,0.1,0.0,-0.01042511390678641,0.0,0.008651078585090288
20270831,fast reversible,0.15000000000000002,0.0,-0.011156551843177431,0.0,0.010944021040459745
