regime,alpha,root_index,G,M,L,C,dominant_real_eigenvalue,stable
"fast-subsystem monostable, no memory",0.0925,0,0.0035578379506383886,0.00274879941895219,0.0050313368390635695,0.009431640785828024,-0.0007544472974382979,True
"fast-subsystem monostable, no memory",0.095,0,0.003611958934086729,0.0028091371161542305,0.005148122099010833,0.009574254136289963,-0.0007545149486676083,True
"fast-subsystem monostable, no memory",0.0975,0,0.0036669086409739466,0.002869946558257755,0.005267290494410024,0.009719025080845864,-0.0007545836358012174,True
"fast-subsystem monostable, no memory",0.1,0,0.003722699928877916,0.002931259786518044,0.0053888873521198664,0.00986598629951525,-0.0007546533749110974,True
"fast-subsystem monostable, no memory",0.10250000000000001,0,0.0037793458600430506,0.002993107596325383,0.005512958819842806,0.0100151709685521,-0.0007547241823250538,True
"fast-subsystem monostable, no memory",0.105,0,0.0038368597047983358,0.003055519673900836,0.005639551880291715,0.010166612768022373,-0.0007547960746309978,True
"fast-subsystem monostable, no memory",0.1075,0,0.0038952549450373608,0.0031185247186111807,0.005768714365583495,0.010320345889498686,-0.0007548690686812967,True
"fast-subsystem monostable, no memory",0.11,0,0.003954545277761609,0.0031821505526977104,0.005900494971862525,0.010476405043874008,-0.0007549431815972019,True
"fast-subsystem monostable, no memory",0.1125,0,0.0040147446186883495,0.003246424219963625,0.006034943274157108,0.010634825469296354,-0.0007550184307733604,True
"fast-subsystem monostable, no memory",0.115,0,0.0040758671059244675,0.003311372074753188,0.006172109741471954,0.010795642939226415,-0.0007550948338824056,True
"fast-subsystem monostable, no memory",0.11750000000000001,0,0.004137927103707544,0.0033770198623763593,0.006312045752119709,0.010958893770619952,-0.0007551724088796344,True
"fast-subsystem monostable, no memory",0.12,0,0.004200939206215681,0.003443392791980066,0.006454803609294765,0.011124614832237159,-0.0007552511740077696,True
"fast-subsystem monostable, no memory",0.1225,0,0.004264918241447398,0.0035105156027368132,0.006600436556892281,0.011292843553080818,-0.0007553311478018092,True
"fast-subsystem monostable, no memory",0.125,0,0.004329879275173179,0.0035784126241100657,0.006748998795575706,0.011463617930965493,-0.0007554123490939664,True
"fast-subsystem monostable, no memory",0.1275,0,0.004395837614960098,0.003647107830860013,0.0069005454990958065,0.011636976541219757,-0.0007554947970187002,True
"fast-subsystem monostable, no memory",0.13,0,0.00446280881427109,0.003716624893371183,0.007055132830864368,0.011812958545523604,-0.0007555785110178389,True
"fast-subsystem monostable, no memory",0.1325,0,0.004530808676640479,0.0037869872238124173,0.007212817960785759,0.011991603700883284,-0.0007556635108458005,True
"fast-subsystem monostable, no memory",0.135,0,0.004599853259927332,0.0038582180185783776,0.007373659082349405,0.012172952368745694,-0.0007557498165749091,True
"fast-subsystem monostable, no memory",0.1375,0,0.00466995888064836,0.003930340297408719,0.007537715429986443,0.012357045524254678,-0.0007558374486008103,True
"fast-subsystem monostable, no memory",0.14,0,0.00474114211839201,0.00400337693953487,0.007705047296693567,0.012543924765651408,-0.00075592642764799,True
"fast-subsystem monostable, no memory",0.14250000000000002,0,0.0048134198203155405,0.004077350717164301,0.007875716051927346,0.012733632323821287,-0.0007560167747753944,True
"fast-subsystem monostable, no memory",0.145,0,0.004886809105726855,0.004152284326577169,0.008049784159772078,0.0129262110719897,-0.0007561085113821586,True
"fast-subsystem monostable, no memory",0.1475,0,0.00496132737075294,0.0042282004170796405,0.008227315197384363,0.013121704535569087,-0.0007562016592134411,True
"fast-subsystem monostable, no memory",0.15,0,0.005036992293096737,0.004305121618031399,0.008408373873717446,0.013320156902159602,-0.000756296240366371,True
"fast-subsystem monostable, no memory",0.1525,0,0.0051138218368844916,0.004383070564141548,0.008593026048528617,0.013521613031706242,-0.0007563922772961056,True
"fast-subsystem monostable, no memory",0.155,0,0.005191834257605436,0.004462069919206225,0.008781338751672625,0.013726118466814567,-0.0007564897928220068,True
"fast-subsystem monostable, no memory",0.1575,0,0.0052710481071459436,0.004542142398443366,0.008973380202684284,0.013933719443227967,-0.0007565888101339325,True
"fast-subsystem monostable, no memory",0.16,0,0.005351482238920104,0.004623310789563804,0.00916921983065326,0.014144462900468738,-0.00075668935279865,True
"fast-subsystem monostable, no memory",0.1625,0,0.005433155813099092,0.004705597972704077,0.009368928294394377,0.014358396492646239,-0.0007567914447663739,True
"fast-subsystem monostable, no memory",0.165,0,0.005516088301941224,0.004789026939333345,0.00957257750291601,0.014575568599434131,-0.0007568951103774265,True
"fast-subsystem monostable, no memory",0.1675,0,0.005600299495225192,0.004873620810236236,0.009780240636190037,0.014796028337220062,-0.0007570003743690314,True
"fast-subsystem monostable, no memory",0.17,0,0.005685809505788704,0.004959402852663313,0.009991992166226083,0.015019825570430476,-0.0007571072618822359,True
"fast-subsystem monostable, no memory",0.17250000000000001,0,0.005772638775174888,0.005046396496732133,0.010207907878453111,0.015247010923033337,-0.0007572157984689686,True
"fast-subsystem monostable, no memory",0.17500000000000002,0,0.005860808079388904,0.005134625351154234,0.010428064893411157,0.015477635790221793,-0.0007573260100992361,True
"fast-subsystem monostable, no memory",0.1775,0,0.005950338534767273,0.00522411321835633,0.010652541688756206,0.015711752350281726,-0.0007574379231684591,True
"fast-subsystem monostable, no memory",0.18,0,0.006041251603962539,0.005314884109057952,0.010881418121581079,0.015949413576646476,-0.0007575515645049532,True
"fast-subsystem monostable, no memory",0.1825,0,0.006133569102045782,0.00540696225636206,0.011114775451054906,0.016190673250141438,-0.0007576669613775573,True
"fast-subsystem monostable, no memory",0.185,0,0.006227313202729835,0.005500372129410453,0.011352696361384178,0.01643558597142216,-0.0007577841415034122,True
"fast-subsystem monostable, no memory",0.1875,0,0.006322506444715829,0.005595138446651176,0.01159526498509779,0.016684207173608686,-0.0007579031330558947,True
"fast-subsystem monostable, no memory",0.19,0,0.006419171738166132,0.005691286188761386,0.01184256692665905,0.016936593135120047,-0.0007580239646727077,True
"fast-subsystem monostable, no memory",0.1925,0,0.006517332371306389,0.005788840611265336,0.012094689286406817,0.017192800992711657,-0.0007581466654641329,True
"fast-subsystem monostable, no memory",0.195,0,0.006617012017159829,0.0058878272568841745,0.01235172068482847,0.017452888754719325,-0.0007582712650214498,True
"fast-subsystem monostable, no memory",0.1975,0,0.006718234740416948,0.005988271967651347,0.012613751287167206,0.017716915314513547,-0.0007583977934255211,True
"fast-subsystem monostable, no memory",0.2,0,0.006821025004443619,0.00609020089682466,0.012880872828365668,0.017984940464167126,-0.0007585262812555545,True
"fast-subsystem monostable, no memory",0.2025,0,0.006925407678431063,0.006193640520624005,0.013153178638348554,0.018257024908340292,-0.0007586567595980388,True
"fast-subsystem monostable, no memory",0.20500000000000002,0,0.007031408044690967,0.006298617649821492,0.013430763667646027,0.01853323027838665,-0.0007587892600558637,True
"fast-subsystem monostable, no memory",0.20750000000000002,0,0.007139051806099209,0.006405159441208889,0.013713724513360195,0.018813619146683898,-0.000758923814757624,True
"fast-subsystem monostable, no memory",0.21,0,0.007248365093691754,0.006513293408965632,0.014002159445476413,0.019098255041193002,-0.0007590604563671147,True
"fast-subsystem monostable, no memory",0.2125,0,0.0073593744744164784,0.0066230474359491864,0.014296168433521625,0.019387202460250094,-0.0007591992180930206,True
"fast-subsystem monostable, no memory",0.215,0,0.007472106959044475,0.006734449784927949,0.014595853173570894,0.019680526887594505,-0.0007593401336988057,True
"fast-subsystem monostable, no memory",0.2175,0,0.0075865900102449375,0.006847529109776009,0.014901317115604272,0.019978294807637582,-0.0007594832375128061,True
"fast-subsystem monostable, no memory",0.22,0,0.007702851550827493,0.006962314466647693,0.015212665491215199,0.020280573720976164,-0.0007596285644385343,True
"fast-subsystem monostable, no memory",0.2225,0,0.007820919972156112,0.007078835325148926,0.015530005341671869,0.020587432160155024,-0.0007597761499651951,True
"fast-subsystem monostable, no memory",0.225,0,0.00794082414273875,0.007197121579521527,0.015853445546332577,0.02089893970568246,-0.0007599260301784234,True
"fast-subsystem monostable, no memory",0.2275,0,0.008062593416997207,0.007317203559855849,0.016183096851416393,0.02121516700230377,-0.0007600782417712464,True
"fast-subsystem monostable, no memory",0.23,0,0.00818625764422154,0.0074391120433463225,0.016519071899129798,0.021536185775536832,-0.0007602328220552769,True
"fast-subsystem monostable, no memory",0.2325,0,0.008311847177713674,0.007562878265603872,0.016861485257149995,0.021862068848474508,-0.000760389808972142,True
