condition,level,branch,alpha,dwell,structural_reset,reset_applied_here,Q,r,phi,B,polarization,mean_opinion,n_edges,n_bridges
topology reset,2,up,0.1,20,True,False,0.09968750000000001,0.4275066084765786,0.41025641025641024,1.0,0.12296215942251813,-0.005629612583549326,240,96
topology reset,3,up,0.15000000000000002,20,True,False,0.09968750000000001,0.4266353279319082,0.41025641025641024,1.0,0.171233126677742,-0.007413806392701529,240,96
topology reset,4,up,0.2,20,True,False,0.09968750000000001,0.4219491734574412,0.41025641025641024,1.0,0.22149737683069218,-0.00903899168392057,240,96
topology reset,5,up,0.25,20,True,False,0.09968750000000001,0.4134172108327199,0.41025641025641024,1.0,0.2721932881800262,-0.010201156206207405,240,96
topology reset,6,up,0.30000000000000004,20,True,False,0.09968750000000001,0.4018311283655217,0.41025641025641024,1.0,0.32230382034323835,-0.01078229073804512,240,96
topology reset,7,up,0.35000000000000003,20,True,False,0.09968750000000001,0.3880332806237643,0.41025641025641024,1.0,0.3712663433325015,-0.010769871795156396,240,96
topology reset,8,up,0.4,20,True,False,0.09968750000000001,0.37275516598811775,0.41025641025641024,1.0,0.41881844062124485,-0.010195575720609518,240,96
topology reset,9,up,0.45,20,True,False,0.09968750000000001,0.35665351545918145,0.41025641025641024,1.0,0.466007612907927,-0.009150277245921674,240,96
topology reset,10,up,0.5,20,True,False,0.09968750000000001,0.3403850419628801,0.41025641025641024,1.0,0.5125486603536102,-0.007831410593296043,240,96
topology reset,11,up,0.55,20,True,False,0.10802083333333337,0.3467925968620799,0.4017094017094017,0.9791666666666666,0.5609073346865461,-0.006619577351163549,240,94
topology reset,12,up,0.6000000000000001,20,True,False,0.1413541666666667,0.4162504110020384,0.36752136752136755,0.8958333333333334,0.6181786985025229,-0.005585081376114603,240,86
topology reset,13,up,0.65,20,True,False,0.1913541666666667,0.5138508143439544,0.3162393162393162,0.7708333333333334,0.67849596309194,-0.00492424389540681,240,74
topology reset,14,up,0.7000000000000001,20,True,False,0.25802083333333337,0.6365769205990032,0.24786324786324787,0.6041666666666666,0.7414336552438943,-0.0029410887705414225,240,58
topology reset,15,up,0.75,20,True,False,0.3330208333333333,0.7571108676946683,0.17094017094017094,0.4166666666666667,0.8005623908457252,-0.0017852686336529255,240,40
topology reset,16,up,0.8,20,True,False,0.4330208333333334,0.9079366189443602,0.06837606837606838,0.16666666666666666,0.8561912158906143,-0.000712401977292404,240,16
topology reset,17,up,0.8500000000000001,20,True,False,0.49135416666666665,0.9862270575058545,0.008547008547008548,0.020833333333333332,0.9011031116644471,0.0014238393882314126,240,2
topology reset,18,up,0.9,20,True,False,0.49135416666666665,0.984903684294564,0.008547008547008548,0.020833333333333332,0.9162352402195644,0.0011048110593314397,240,2
topology reset,19,up,0.9500000000000001,20,True,False,0.49135416666666665,0.9841257867361883,0.008547008547008548,0.020833333333333332,0.925868388986214,0.0005813748265820706,240,2
topology reset,20,up,1.0,20,True,False,0.49135416666666665,0.9833767905214645,0.008547008547008548,0.020833333333333332,0.934399404108588,3.8699509254655484e-05,240,2
topology reset,21,down,0.95,20,True,False,0.49135416666666665,0.9840238014147039,0.008547008547008548,0.020833333333333332,0.9272138442876653,0.0005104734728259841,240,2
topology reset,22,down,0.9,20,True,False,0.49135416666666665,0.9847484445834499,0.008547008547008548,0.020833333333333332,0.9183886699570379,0.0010468610373880582,240,2
topology reset,23,down,0.85,20,True,False,0.49135416666666665,0.9854643467904833,0.008547008547008548,0.020833333333333332,0.9087546493407951,0.0015853400561557762,240,2
topology reset,24,down,0.8,20,True,False,0.49135416666666665,0.9861671844049612,0.008547008547008548,0.020833333333333332,0.898277657860775,0.0021223265815867587,240,2
topology reset,25,down,0.75,20,True,False,0.49135416666666665,0.9868578659743523,0.008547008547008548,0.020833333333333332,0.886844240139933,0.0026581130014793316,240,2
topology reset,26,down,0.7,20,True,False,0.49135416666666665,0.9875375647704646,0.008547008547008548,0.020833333333333332,0.874312820387716,0.0031932404944500143,240,2
topology reset,27,down,0.6499999999999999,20,True,False,0.49135416666666665,0.9882073972860006,0.008547008547008548,0.020833333333333332,0.8605121954453626,0.0037282371830767184,240,2
topology reset,28,down,0.6,20,True,False,0.49135416666666665,0.9888683881031601,0.008547008547008548,0.020833333333333332,0.8452342264298238,0.004263540489081957,240,2
topology reset,29,down,0.55,20,True,False,0.49135416666666665,0.9895214245438531,0.008547008547008548,0.020833333333333332,0.8282237291131643,0.004799353590984423,240,2
topology reset,30,down,0.5,20,True,True,0.09968750000000001,0.3338834259686477,0.41025641025641024,1.0,0.546835190258047,-0.004758172340543323,240,96
topology reset,31,down,0.44999999999999996,20,True,False,0.09968750000000001,0.35705886371859086,0.41025641025641024,1.0,0.4806928555691484,-0.007603543070530408,240,96
topology reset,32,down,0.3999999999999999,20,True,False,0.09968750000000001,0.37528691256398733,0.41025641025641024,1.0,0.4322922560295132,-0.009354319999754926,240,96
topology reset,33,down,0.35,20,True,False,0.09968750000000001,0.39407718598768254,0.41025641025641024,1.0,0.3867024551845399,-0.010846105613487195,240,96
topology reset,34,down,0.29999999999999993,20,True,False,0.09968750000000001,0.4132785138664113,0.41025641025641024,1.0,0.3403884150192179,-0.012092480959519196,240,96
topology reset,35,down,0.25,20,True,False,0.09968750000000001,0.4323524161160583,0.41025641025641024,1.0,0.29371266738066576,-0.01294325757861382,240,96
topology reset,36,down,0.19999999999999996,20,True,False,0.09968750000000001,0.4508696563847591,0.41025641025641024,1.0,0.24589897924556708,-0.01329093108461211,240,96
topology reset,37,down,0.1499999999999999,20,True,False,0.09968750000000001,0.4686786437564097,0.41025641025641024,1.0,0.19741017023113608,-0.013104129805557429,240,96
topology reset,38,down,0.09999999999999998,20,True,False,0.09968750000000001,0.4860564536966505,0.41025641025641024,1.0,0.14924060475834156,-0.012352008304242011,240,96
topology reset,39,down,0.04999999999999993,20,True,False,0.09968750000000001,0.5045321966534031,0.41025641025641024,1.0,0.10216135701234252,-0.010940134757512788,240,96
topology reset,40,down,0.0,20,True,False,0.09968750000000001,0.5314621134828007,0.41025641025641024,1.0,0.05744491479544598,-0.008759152461553324,240,96
