draw,area_baseline,area_neutralized,memory_attributable_area,multiplier_gain,multiplier_w_g,multiplier_w_alpha,multiplier_w_m,multiplier_w_l,multiplier_w_c,multiplier_threshold,multiplier_tau_m,multiplier_tau_l,multiplier_tau_c,multiplier_delta_m,multiplier_decay_l,multiplier_consolidate_c,multiplier_recover_c
12,0.4819875604050131,0.04751330841421547,0.43447425199079764,1.0896141653111708,1.039280264412333,0.952833420751107,1.1992627302032854,1.0486870473706393,0.8304817719969702,0.9510088852729347,0.8782428235069282,0.9446401469931203,1.037410210862455,1.040387687499262,1.021531956930215,0.8101364594973988,0.9674620803753924
13,0.4905998053635354,0.0007301115361127917,0.4898696938274226,0.8183362185670238,0.9869428496017562,0.8342884675027648,0.8905879643633566,1.1658187917484457,1.0715551597341215,0.9336841576079472,1.099092951833897,0.8645214103059204,0.8681545862754919,1.0770879307581431,1.0843605950756425,0.9881972660915013,1.1841020174133678
14,0.49735482686806476,0.007151617683880746,0.49020320918418403,1.0809327786853404,0.8489697846816066,0.8728725092033288,1.0445667076111291,0.8661588410588119,1.1445639753829266,0.9627373868266049,0.9339193645086191,0.8201094243753837,0.8979012206675395,1.182677664408574,0.9225014084386672,0.8108547219034274,0.8115040259415208
15,0.4933819652971101,0.03269994078445719,0.4606820245126529,0.9195587574539892,1.1024085375299035,0.9229706557902277,0.9878238818878531,1.0555460565855355,0.8530435670693604,1.0397359012477438,0.9209632823729875,0.8042541005377121,0.8644605920787178,0.9404411898990922,1.062586372399772,0.8051962754711953,1.0967152865055758
16,0.5136102289115596,0.1070937627747096,0.40651646613685,1.1117311061942765,1.1834643474432731,1.0604965089619474,0.8275176594166198,0.9908906809351794,0.8454977154104708,1.0879105880854034,0.9654921576815136,1.0012741522625301,1.188462260489154,0.8276966917702149,0.9773184255907621,1.056478738696812,1.1547613561807675
17,0.3689718543629187,0.0002558572416976766,0.368715997121221,0.9220033956454781,0.84567837894288,1.0655038885363117,1.0740418686353295,1.0012567925912683,0.9437113481721505,0.8776446989802245,0.9355243081226005,1.014680818931304,1.0311034747747057,0.9113386113000653,1.1150637230726934,1.0548740354539825,1.1770365516319572
18,0.4728509598533273,0.045609087561959985,0.42724187229136734,0.9348419961350277,1.1814818946561128,0.9670041557219157,1.0774163260972882,0.85931430715111,1.074140052920574,1.0007543521970108,0.8307209390938157,0.81405302578562,1.0600240351541401,0.8713219539396916,0.941496061312499,1.027320378836321,1.0185995396972758
19,0.5120597679281209,0.0225833254149986,0.48947644251312233,1.198925991788621,0.8781275763203537,1.0026532086161513,0.8357441362489666,1.1040638569103156,0.9701928458577421,1.0194539928220263,0.8774661670675699,1.0042331760011158,1.0620834530975614,1.0400389366546594,0.8694691088629105,1.154797794349125,1.080040747481051
20,0.5793985504873277,0.07174269762652036,0.5076558528608073,1.0881686140979177,1.0634820878051183,0.8268527048687653,1.0739120318233761,0.8230037909778796,1.1205198334134785,1.0032836309658235,0.8849735077473403,1.014631144711947,0.908703078378306,1.0550659340669335,0.979565028972627,1.08672724536651,0.8878592322719677
21,0.4045970295827397,0.0074607199688653736,0.3971363096138743,1.1097951011111782,0.8473996209381593,1.0923388551486715,0.982012045977782,1.013484131828479,0.9983020672711252,0.8973369884106811,0.8457730880708899,1.076506163147206,1.1480477478258542,1.0865615579825039,1.0971322438285593,0.8378349116923687,0.9173235472067585
